lat,lon,satelite,data
   6.478600, -57.883300,GOES-16,2023-11-11 16:00:00
   6.460000, -57.903600,GOES-16,2023-11-11 16:00:00
   6.460100, -57.884100,GOES-16,2023-11-11 16:00:00
   6.460300, -57.864600,GOES-16,2023-11-11 16:00:00
   6.441700, -57.884900,GOES-16,2023-11-11 16:00:00
   6.387000, -57.770200,GOES-16,2023-11-11 16:00:00
   6.387100, -57.750700,GOES-16,2023-11-11 16:00:00
   6.368600, -57.770900,GOES-16,2023-11-11 16:00:00
   6.072900, -57.899900,GOES-16,2023-11-11 16:00:00
   5.726500, -57.230300,GOES-16,2023-11-11 16:00:00
   5.632100, -57.683100,GOES-16,2023-11-11 16:00:00
  -1.263800, -49.104400,GOES-16,2023-11-11 16:00:00
 -11.534000, -66.548600,GOES-16,2023-11-11 16:00:00
 -11.534800, -66.398300,GOES-16,2023-11-11 16:00:00
 -11.534900, -66.379600,GOES-16,2023-11-11 16:00:00
 -11.535300, -66.304400,GOES-16,2023-11-11 16:00:00
 -11.553700, -66.378900,GOES-16,2023-11-11 16:00:00
 -11.554100, -66.303700,GOES-16,2023-11-11 16:00:00
 -11.704100, -66.316800,GOES-16,2023-11-11 16:00:00
 -11.852700, -66.612000,GOES-16,2023-11-11 16:00:00
 -12.022200, -66.530400,GOES-16,2023-11-11 16:00:00
 -12.040900, -66.548500,GOES-16,2023-11-11 16:00:00
 -12.041000, -66.529700,GOES-16,2023-11-11 16:00:00
 -12.059700, -66.547800,GOES-16,2023-11-11 16:00:00
 -12.059800, -66.529000,GOES-16,2023-11-11 16:00:00
 -12.078700, -66.528300,GOES-16,2023-11-11 16:00:00
 -12.210900, -66.429100,GOES-16,2023-11-11 16:00:00
 -12.211000, -66.410200,GOES-16,2023-11-11 16:00:00
 -12.249000, -66.352200,GOES-16,2023-11-11 16:00:00
 -12.267700, -66.370300,GOES-16,2023-11-11 16:00:00
 -12.286400, -66.388400,GOES-16,2023-11-11 16:00:00
 -12.305300, -66.387700,GOES-16,2023-11-11 16:00:00
 -12.305400, -66.368800,GOES-16,2023-11-11 16:00:00
 -12.324100, -66.386900,GOES-16,2023-11-11 16:00:00
 -12.324200, -66.368100,GOES-16,2023-11-11 16:00:00
 -12.325500, -66.141700,GOES-16,2023-11-11 16:00:00
 -12.325600, -66.122900,GOES-16,2023-11-11 16:00:00
 -12.342500, -66.461600,GOES-16,2023-11-11 16:00:00
 -12.344400, -66.141000,GOES-16,2023-11-11 16:00:00
 -12.344500, -66.122100,GOES-16,2023-11-11 16:00:00
 -12.361400, -66.460800,GOES-16,2023-11-11 16:00:00
 -12.494100, -66.323500,GOES-16,2023-11-11 16:00:00
 -12.513000, -66.303900,GOES-16,2023-11-11 16:00:00
 -12.607100, -66.337800,GOES-16,2023-11-11 16:00:00
 -12.607400, -66.300100,GOES-16,2023-11-11 16:00:00
 -13.204300, -62.337300,GOES-16,2023-11-11 16:00:00
 -13.204400, -62.317900,GOES-16,2023-11-11 16:00:00
 -13.204600, -62.298600,GOES-16,2023-11-11 16:00:00
 -13.223100, -62.355400,GOES-16,2023-11-11 16:00:00
 -13.223300, -62.336100,GOES-16,2023-11-11 16:00:00
 -13.223600, -62.297400,GOES-16,2023-11-11 16:00:00
 -13.223800, -62.278000,GOES-16,2023-11-11 16:00:00
 -13.242200, -62.334900,GOES-16,2023-11-11 16:00:00
 -13.242600, -62.296200,GOES-16,2023-11-11 16:00:00
 -13.242800, -62.276800,GOES-16,2023-11-11 16:00:00
 -13.261200, -62.333600,GOES-16,2023-11-11 16:00:00
 -13.261900, -62.256300,GOES-16,2023-11-11 16:00:00
 -13.262100, -62.236900,GOES-16,2023-11-11 16:00:00
 -13.280100, -62.351800,GOES-16,2023-11-11 16:00:00
 -13.280200, -62.332400,GOES-16,2023-11-11 16:00:00
 -13.280400, -62.313100,GOES-16,2023-11-11 16:00:00
 -13.280800, -62.274400,GOES-16,2023-11-11 16:00:00
 -13.280900, -62.255000,GOES-16,2023-11-11 16:00:00
 -13.281100, -62.235700,GOES-16,2023-11-11 16:00:00
 -13.298400, -62.427900,GOES-16,2023-11-11 16:00:00
 -13.299100, -62.350600,GOES-16,2023-11-11 16:00:00
 -13.299200, -62.331200,GOES-16,2023-11-11 16:00:00
 -13.299400, -62.311900,GOES-16,2023-11-11 16:00:00
 -13.299900, -62.253800,GOES-16,2023-11-11 16:00:00
 -13.300100, -62.234500,GOES-16,2023-11-11 16:00:00
 -13.300300, -62.215100,GOES-16,2023-11-11 16:00:00
 -13.318100, -62.349400,GOES-16,2023-11-11 16:00:00
 -13.318200, -62.330000,GOES-16,2023-11-11 16:00:00
 -13.318400, -62.310700,GOES-16,2023-11-11 16:00:00
 -13.318900, -62.252600,GOES-16,2023-11-11 16:00:00
 -13.319100, -62.233300,GOES-16,2023-11-11 16:00:00
 -13.319300, -62.213900,GOES-16,2023-11-11 16:00:00
